customer_id,name,last_name,total_sum
1,James,Choudhary,5282.79
2,John,Mehta,9791.24
3,Robert,Reddy,4427.31
4,Michael,Verma,7075.56
5,William,Yadav,22563.81
7,David,Das,12132.04
10,Charles,Gupta,27262.48
11,Thomas,Reddy,8870.63
12,Christopher,Sharma,25020.52
13,Daniel,Agarwal,32271.43
14,Matthew,Reddy,2679.11
15,Elizabeth,Singh,19633.09
16,Patricia,Tripathi,10694.87
17,Jennifer,Patel,8612.12
19,George,Patel,7536.14
20,Linda,Tripathi,9108.46
22,Donald,Ghosh,17251.42
24,Mark,Verma,5694.29
26,Steven,Das,12443.48
27,Kenneth,Khan,5058.32
29,Joshua,Gupta,4902.49
30,Margaret,Kaur,9199.67
31,Brian,Sharma,4043.92
34,Sarah,Khan,7598.17
35,Susan,Choudhary,4297.56
36,Timothy,Mehta,2384.03
37,Dorothy,Bansal,3958.71
38,Jason,Yadav,7771.78
39,Ronald,Verma,20347.06
40,Helen,Ghosh,3965.75
41,Ryan,Agarwal,14153.47
42,Jeffrey,Singh,6127.05
44,Nancy,Jain,11199.07
45,Betty,Ghosh,19415.42
46,Lisa,Das,18693.3
47,Jacob,Verma,7970.35
48,Nicholas,Choudhary,9478.05
49,Ashley,Reddy,8860.15
50,Eric,Jain,21787.93
51,Frank,Nair,45230.74
52,Gary,Patel,40175.2
53,Anna,Mukherjee,13227.37
54,Stephen,Agarwal,18158.41
55,Jonathan,Yadav,13741.19
56,Sandra,Choudhary,8431.8
58,Amanda,Tripathi,6803.01
60,Michelle,Ghosh,7466.13
62,Justin,Ghosh,10173.18
63,Laura,Ghosh,8888.73
64,Ruth,Patel,40255.81
65,Carol,Gupta,10870.06
69,Melissa,Bansal,3920.59
71,Benjamin,Singh,12686.95
72,Raymond,Iyer,3931.22
73,Samuel,Das,8420.93
75,Deborah,Yadav,57119.25
76,Gregory,Iyer,24064.74
77,Sharon,Ghosh,9025.63
78,Kathleen,Gupta,5741.7
79,Amy,Sharma,2755.75
80,Cynthia,Agarwal,3118.55
81,Alexander,Tripathi,16788.47
82,Patrick,Mukherjee,15116.42
83,Jack,Sharma,5352.8
84,Henry,Reddy,11013.03
85,Angela,Reddy,5447.34
86,Shirley,Verma,11430.52
87,Emma,Jain,22352.2
88,Catherine,Reddy,2746.55
89,Katherine,Choudhary,10362.84
90,Virginia,Nair,10922.15
91,Nicole,Mukherjee,31634.1
92,Dennis,Yadav,15775.17
93,Walter,Kaur,23292.2
95,Peter,Kaur,15779.71
