customer_id,name,last_name
77,Sharon,Ghosh
159,Christian,Bansal
177,Judy,Nair
193,Crystal,Mehta
218,Bonnie,Singh
231,Alyssa,Bansal
265,Joel,Patel
334,Michele,Agarwal
474,Lillie,Choudhary
807,Cesar,Bansal
1004,Gerardo,Mukherjee
1306,Melba,Jain
1379,Jakob,Nair
1911,Wiley,Patel
1979,Lavonne,Bansal
2128,Fletcher,Jain
2282,Seymour,Yadav
2392,Ciera,Bansal
2410,Nico,Khan
2657,Haylie,Verma
2659,Mathias,Khan
2680,Elouise,Singh
2682,Alysia,Kaur
2813,Bree,Jain
2824,Benedict,Jain
2844,Brennen,Agarwal
2942,Charley,Khan
3322,Jaylee,Sharma
3441,Otha,Ghosh
3564,Semaj,Iyer
3591,Abigayle,Reddy
3826,Rona,Verma
4030,Eleazar,Iyer
4410,Porsha,Sharma
4480,Melton,Reddy
4742,Dilan,Iyer
4763,Rayshawn,Das
5168,Gentry,Gupta
5318,Maison,Gupta
5455,Angeles,Kaur
5707,Brie,Nair
5729,Yuri,Agarwal
5845,Idalia,Yadav
6133,Vivian,Gupta
6398,Roby,Singh
6543,Jajuan,Patel
6577,Aston,Sharma
6952,Lew,Bansal
7034,Sebrina,Patel
7052,Antwone,Agarwal
7109,Foy,Iyer
7137,Carlota,Agarwal
7190,Tiny,Bansal
7358,Aamir,Nair
7441,Takiyah,Yadav
7612,Vann,Yadav
7703,Victor,Sharma
7822,Naomie,Tripathi
8013,Drayden,Patel
8147,Siara,Mukherjee
8228,Taylee,Tripathi
8630,Darry,Sharma
8771,Martin,Ghosh
8781,Inaya,Tripathi
8864,Kieran,Khan
8890,Marrissa,Ghosh
8919,Brooklyn,Patel
9067,Zettie,Bansal
9266,Kamaya,Gupta
9311,Reema,Agarwal
9361,Teryn,Agarwal
9401,Cera,Patel
10096,Karalee,Mukherjee
10365,Teresa,Jain
11072,Pearce,Choudhary
11314,Takiya,Tripathi
11347,Maelee,Yadav
11443,Jadelynn,Agarwal
11839,Melvia,Gupta
