customer_id,name,last_name
1,James,Choudhary
2,John,Mehta
4,Michael,Verma
6,Mary,Agarwal
7,David,Das
8,Joseph,Iyer
9,Richard,Choudhary
10,Charles,Gupta
11,Thomas,Reddy
12,Christopher,Sharma
13,Daniel,Agarwal
14,Matthew,Reddy
15,Elizabeth,Singh
17,Jennifer,Patel
18,Anthony,Yadav
19,George,Patel
20,Linda,Tripathi
21,Barbara,Reddy
22,Donald,Ghosh
23,Paul,Singh
25,Andrew,Choudhary
26,Steven,Das
27,Kenneth,Khan
28,Edward,Iyer
30,Margaret,Kaur
31,Brian,Sharma
32,Kevin,Yadav
33,Jessica,Patel
34,Sarah,Khan
35,Susan,Choudhary
36,Timothy,Mehta
37,Dorothy,Bansal
38,Jason,Yadav
39,Ronald,Verma
40,Helen,Ghosh
41,Ryan,Agarwal
42,Jeffrey,Singh
43,Karen,Singh
45,Betty,Ghosh
47,Jacob,Verma
48,Nicholas,Choudhary
50,Eric,Jain
53,Anna,Mukherjee
54,Stephen,Agarwal
55,Jonathan,Yadav
56,Sandra,Choudhary
57,Emily,Yadav
58,Amanda,Tripathi
59,Kimberly,Das
60,Michelle,Ghosh
61,Donna,Choudhary
62,Justin,Ghosh
63,Laura,Ghosh
64,Ruth,Patel
65,Carol,Gupta
66,Brandon,Yadav
67,Larry,Verma
68,Scott,Singh
69,Melissa,Bansal
70,Stephanie,Choudhary
71,Benjamin,Singh
72,Raymond,Iyer
74,Rebecca,Gupta
76,Gregory,Iyer
77,Sharon,Ghosh
78,Kathleen,Gupta
80,Cynthia,Agarwal
82,Patrick,Mukherjee
83,Jack,Sharma
84,Henry,Reddy
85,Angela,Reddy
86,Shirley,Verma
87,Emma,Jain
88,Catherine,Reddy
89,Katherine,Choudhary
90,Virginia,Nair
91,Nicole,Mukherjee
93,Walter,Kaur
94,Tyler,Tripathi
95,Peter,Kaur
97,Aaron,Singh
98,Jerry,Mehta
99,Christine,Nair
100,Samantha,Choudhary
101,Adam,Tripathi
102,Rachel,Sharma
103,Pamela,Agarwal
104,Frances,Ghosh
105,Nathan,Jain
106,Douglas,Gupta
107,Heather,Tripathi
108,Evelyn,Yadav
109,Jose,Singh
110,Alice,Sharma
111,Janet,Reddy
112,Maria,Iyer
113,Zachary,Tripathi
114,Carolyn,Ghosh
115,Debra,Singh
116,Harold,Nair
117,Martha,Tripathi
119,Arthur,Verma
121,Kyle,Ghosh
122,Diane,Sharma
123,Christina,Bansal
126,Carl,Verma
127,Lauren,Mehta
128,Grace,Agarwal
129,Kelly,Mehta
131,Rose,Yadav
132,Megan,Reddy
134,Jeremy,Gupta
135,Ann,Yadav
137,Kathryn,Yadav
138,Lawrence,Das
139,Olivia,Yadav
140,Judith,Khan
141,Doris,Singh
142,Jean,Kaur
143,Andrea,Kaur
144,Gerald,Nair
145,Sean,Verma
146,Joe,Jain
147,Keith,Khan
148,Sara,Gupta
149,Cheryl,Patel
150,Hannah,Reddy
151,Mildred,Patel
152,Willie,Agarwal
156,Jacqueline,Mehta
157,Ethan,Verma
158,Terry,Choudhary
160,Harry,Jain
161,Teresa,Choudhary
162,Austin,Tripathi
163,Gloria,Ghosh
164,Ralph,Yadav
165,Janice,Agarwal
166,Roy,Nair
167,Theresa,Ghosh
168,Amber,Patel
169,Danielle,Mukherjee
170,Noah,Jain
171,Bryan,Kaur
172,Jordan,Choudhary
173,Louis,Choudhary
174,Brittany,Reddy
176,Madison,Das
177,Judy,Nair
178,Billy,Nair
179,Dylan,Reddy
180,Denise,Patel
181,Beverly,Bansal
182,Eugene,Ghosh
183,Jane,Mukherjee
184,Marilyn,Das
185,Abigail,Verma
186,Diana,Kaur
187,Charlotte,Jain
188,Natalie,Singh
189,Tiffany,Reddy
190,Wayne,Verma
191,Russell,Agarwal
192,Alan,Choudhary
194,Sophia,Sharma
195,Irene,Tripathi
196,Juan,Kaur
197,Ruby,Jain
198,Gabriel,Tripathi
199,Philip,Singh
200,Annie,Mehta
202,Vincent,Mehta
204,Howard,Patel
205,Alexis,Mehta
206,Erin,Ghosh
207,Fred,Kaur
208,Logan,Gupta
210,Tammy,Reddy
211,Louise,Mukherjee
212,Florence,Mehta
213,Randy,Khan
214,Bradley,Iyer
215,Kathy,Sharma
216,Lois,Mehta
217,Anne,Das
219,Victor,Jain
220,Taylor,Khan
221,Travis,Jain
222,Phyllis,Choudhary
223,Shawn,Singh
225,Shannon,Khan
227,Johnny,Mukherjee
228,Craig,Das
230,Bobby,Agarwal
231,Alyssa,Bansal
232,Ella,Tripathi
233,Josephine,Singh
234,Ernest,Nair
235,Stanley,Patel
237,Clarence,Yadav
239,Elijah,Verma
240,Leonard,Iyer
241,Carlos,Patel
242,Dawn,Mehta
243,Robin,Jain
244,Edna,Das
245,Cameron,Mehta
246,Peggy,Mehta
247,Caleb,Gupta
248,Eleanor,Nair
249,Isaac,Iyer
250,Todd,Singh
252,Earl,Singh
253,Francis,Ghosh
254,Jimmy,Gupta
255,Mason,Yadav
256,Danny,Reddy
257,Audrey,Bansal
258,Rita,Yadav
259,Luke,Khan
260,Dale,Singh
262,Paula,Agarwal
263,Clara,Mehta
264,Wanda,Iyer
266,Evan,Mukherjee
269,Courtney,Reddy
270,Ethel,Tripathi
271,Nathaniel,Choudhary
272,Wendy,Agarwal
274,Leslie,Tripathi
275,Marjorie,Choudhary
276,Vanessa,Ghosh
277,Allen,Iyer
278,Valerie,Bansal
280,Ava,Mehta
281,Eva,Mehta
282,Frederick,Kaur
283,Curtis,Iyer
284,Edith,Verma
285,Connie,Iyer
286,Lucas,Patel
287,Gladys,Patel
288,Cindy,Sharma
290,Elaine,Choudhary
291,Hazel,Agarwal
292,Monica,Bansal
293,Norman,Sharma
295,Melanie,Sharma
296,Brianna,Singh
297,Antonio,Das
298,Jasmine,Iyer
299,Chad,Verma
300,Katie,Agarwal
301,Tony,Khan
302,Rodney,Nair
303,Glenn,Gupta
304,Marvin,Patel
305,April,Iyer
306,Derek,Sharma
307,Erica,Yadav
308,Ian,Mehta
309,Adrian,Verma
310,Theodore,Mehta
311,Alexandra,Das
312,Marcus,Agarwal
313,Alfred,Gupta
314,Jackson,Ghosh
315,Edwin,Nair
316,Melvin,Nair
317,Sylvia,Das
318,Sheila,Patel
319,Alicia,Choudhary
320,Steve,Choudhary
321,Leah,Yadav
322,Hunter,Das
323,Lee,Verma
324,Jeffery,Reddy
325,Kristen,Tripathi
326,Caroline,Reddy
327,Mia,Choudhary
328,Sherry,Kaur
329,Angel,Mehta
330,Jesus,Nair
331,Dustin,Gupta
332,Herbert,Reddy
333,Pauline,Das
334,Michele,Agarwal
335,Veronica,Jain
336,Ricky,Agarwal
337,Liam,Verma
338,Wesley,Yadav
339,Thelma,Choudhary
341,Lucille,Iyer
342,Morgan,Reddy
343,Joanne,Khan
344,Troy,Yadav
345,Chloe,Reddy
346,Anita,Sharma
347,Connor,Sharma
349,Julian,Ghosh
350,Jared,Yadav
351,Holly,Patel
352,Lorraine,Mukherjee
353,Jayden,Reddy
354,Jill,Mukherjee
355,Geraldine,Patel
356,Rhonda,Reddy
358,Eddie,Sharma
359,Vivian,Das
360,Darlene,Singh
363,Shane,Ghosh
364,Leo,Yadav
365,Juanita,Reddy
366,Sally,Mukherjee
